product_id,product_name,category,price,stock_quantity
fba03cdc-cee0-4625-a0d7-5ae1efebb491,Read Beverages,Household,276.09,824
8ae69a33-3176-4bb3-8863-5affd3e5ea1a,Might Snacks,Baby Products,255.44,862
30677fa7-9ef2-4628-81c0-68f7cda5403c,North Pet Supplies,Baby Products,307.7,720
be073964-3fed-41ad-9f07-389f3d111ee7,Thus Pet Supplies,Snacks,472.06,452
b0a144a6-767e-4a21-b46e-4494a88908b9,Address Baby Products,Personal Care,450.36,141
ab3ef2e0-3282-4e40-87a5-dc1293b9f1e4,Sort Household,Personal Care,266.99,334
862f35c3-a2af-4556-ae7b-043dde62fe52,Station Pet Supplies,Pet Supplies,52.13,625
5ed7a49f-65de-4101-b5ff-a4818ecffabf,Believe Baby Products,Household,121.09,979
a898ae91-5acc-4cd3-b718-58e44bd801b0,Wrong Household,Baby Products,76.32,919
c4658ec3-e4aa-482b-a2c2-e67cbb028892,Section Beverages,Beverages,47.97,573
8d02c36b-da48-4d39-b6e1-0e3014a1a34b,Test Baby Products,Beverages,234.54,885
e6bc5250-b5d3-4921-a5f9-591b55641f8b,Body Snacks,Personal Care,213.19,220
3911cb9e-d16b-4c6f-924d-ad500bbf9eef,Long Household,Household,486.73,983
1a156926-781c-4556-a7fc-3471a1be6b8c,Compare Snacks,Baby Products,66.92,928
e85686d2-2e25-43b5-a070-d4ac99505bfc,Could Baby Products,Beverages,426.72,720
d8fc85c5-1e81-4b11-95e3-3a26849e3f4d,Available Household,Baby Products,360.43,12
fcd0f3ed-bc94-4625-81cb-b4fdb2fdfaee,Father Pet Supplies,Household,443.1,533
cc2a1339-85d3-4580-b398-81845dc273eb,Protect Personal Care,Beverages,126.84,738
4784c78d-e94f-4e5e-9f73-414b99720d67,Per Personal Care,Personal Care,269.69,701
c37ef2fc-ca36-4154-93a6-4babfd4fe935,Likely Personal Care,Baby Products,11.3,473
b585121a-eabf-41b1-96a9-218c17dfdc65,Hundred Baby Products,Household,104.4,192
6da5f696-3c79-4c4c-a5e3-4bbe2b921e47,End Snacks,Beverages,202.71,583
238a32fd-19c6-4f56-bc64-f29b88bceceb,Pass Snacks,Pet Supplies,362.77,853
0f691825-7b26-4ef9-b723-dea93ce36031,Read Pet Supplies,Personal Care,484.0,931
09d62635-7bf3-4c75-b23c-5441e4a6a93e,Hard Beverages,Personal Care,364.32,762
